Student_ID,Age,Gender,Department,Attendance,Study_Hours,Previous_Marks,Assignment_Score,Participation,Previous_Exam_Score,Sleep_Hours,Internet_Access,Extracurricular_Activity,Parental_Support,Final_Performance
STU1035,22,Female,Data Science,86.0,1.7,38.8,65.4,49.2,35.0,7.9,Yes,No,Low,54.5
STU1036,20,Male,Information Technology,92.7,5.6,63.0,59.9,83.0,53.0,7.3,No,No,Medium,65.3
STU1037,22,Female,Computer Science,76.5,3.5,59.6,63.6,43.6,35.0,7.0,Yes,No,Medium,63.1
STU1038,23,Male,Information Technology,67.1,6.6,48.6,43.4,81.1,35.0,7.7,Yes,Yes,High,56.7
STU1039,19,Male,Data Science,67.3,1.0,43.8,35.0,20.0,35.0,6.8,Yes,Yes,Medium,43.2
STU1040,23,Female,Computer Science,86.5,3.1,58.8,72.5,59.7,48.9,9.0,Yes,No,Medium,66.7
STU1041,18,Female,Data Science,87.7,1.5,35.0,41.2,63.6,35.0,7.0,Yes,No,High,51.1
STU1042,23,Male,Information Technology,85.1,3.0,61.4,65.9,65.2,47.3,7.0,Yes,Yes,High,63.7
STU1043,18,Male,Data Science,69.3,4.9,58.2,60.7,90.2,38.2,4.9,No,No,Low,56.7
STU1044,22,Female,Commerce,81.0,4.2,53.6,56.7,43.7,45.1,6.2,Yes,No,Low,60.4
STU1045,19,Female,Data Science,79.5,4.0,41.8,66.1,31.0,35.0,8.1,Yes,Yes,Low,49.0
STU1046,23,Male,Computer Science,80.8,4.2,42.0,51.3,39.5,35.0,5.3,Yes,Yes,Medium,52.7
STU1047,17,Male,Data Science,89.3,4.9,52.4,44.5,76.6,35.0,4.4,Yes,Yes,Medium,60.8
STU1048,20,Female,Computer Science,80.9,2.7,53.2,44.3,58.9,54.1,6.8,Yes,No,Medium,61.6
STU1049,23,Female,Computer Science,86.8,5.8,49.6,69.2,69.9,35.0,8.3,Yes,No,High,62.8
STU1050,17,Male,Computer Science,78.9,5.7,62.4,69.4,43.8,49.2,6.8,Yes,No,High,73.3
STU1051,18,Female,Data Science,81.8,5.2,41.7,41.7,76.6,35.0,6.4,Yes,Yes,Low,54.0
STU1052,17,Male,Data Science,86.2,5.5,57.2,57.9,44.2,39.2,4.8,Yes,No,High,61.0
STU1053,19,Female,Data Science,59.1,5.0,46.9,45.8,72.5,35.0,7.3,Yes,No,Medium,50.4
STU1054,19,Female,Commerce,73.8,8.2,93.7,80.0,100.0,44.8,7.5,Yes,No,Medium,72.1
STU1055,21,Female,Computer Science,71.9,4.3,35.0,35.1,60.5,35.0,4.8,Yes,No,Medium,43.6
STU1056,18,Female,Data Science,69.7,3.9,63.8,50.6,61.4,39.3,8.0,Yes,Yes,High,56.9
STU1057,18,Male,Commerce,74.4,3.1,47.1,42.4,40.1,35.0,7.6,Yes,No,Medium,54.7
STU1058,18,Female,Data Science,97.4,2.6,58.6,66.5,24.2,49.8,8.0,No,Yes,High,62.5
STU1059,23,Male,Computer Science,66.7,2.3,40.2,50.2,30.7,42.6,7.4,Yes,Yes,Medium,45.6
STU1060,23,Female,Information Technology,90.6,2.9,57.1,55.9,35.6,53.2,7.5,Yes,Yes,High,68.3
STU1061,18,Male,Commerce,56.1,4.4,40.1,42.3,21.2,35.0,7.4,Yes,No,Medium,50.5
STU1062,18,Male,Information Technology,73.6,5.1,69.9,65.8,89.6,48.7,7.8,Yes,No,Medium,72.4
STU1063,17,Male,Computer Science,80.1,4.6,48.0,48.8,64.0,45.7,4.8,Yes,Yes,High,56.2
STU1064,23,Female,Commerce,85.6,3.1,63.9,47.4,60.9,57.4,5.1,Yes,No,High,62.1
STU1065,21,Male,Data Science,87.2,6.1,54.7,57.3,64.2,48.9,6.0,No,No,Medium,71.2
STU1066,22,Male,Commerce,88.3,5.8,61.1,61.8,65.6,35.0,6.7,Yes,Yes,High,67.3
STU1067,19,Male,Information Technology,73.5,4.2,36.2,37.8,71.4,35.0,7.2,Yes,No,High,50.1
STU1068,21,Female,Commerce,72.0,3.3,50.4,52.4,48.3,39.5,7.2,Yes,Yes,Medium,57.0
STU1069,17,Female,Data Science,89.2,5.5,78.4,80.7,77.2,38.9,8.0,Yes,No,Low,74.7
STU1070,21,Female,Data Science,75.5,4.8,51.3,41.5,54.4,38.7,8.1,Yes,Yes,Medium,53.1
STU1071,21,Male,Information Technology,61.4,1.9,35.0,37.6,31.0,45.3,5.8,Yes,Yes,High,46.2
STU1072,19,Male,Computer Science,63.3,4.4,35.0,44.4,25.2,35.0,7.1,Yes,No,Low,47.1
STU1073,21,Female,Computer Science,66.0,5.0,45.9,56.8,20.0,47.0,5.9,Yes,Yes,Medium,47.9
STU1074,21,Male,Commerce,84.5,2.9,35.0,47.6,47.8,35.0,6.6,Yes,No,Medium,50.2
STU1075,20,Male,Computer Science,79.9,4.8,43.2,41.4,61.0,35.0,7.2,Yes,No,Medium,48.5
STU1076,18,Female,Data Science,87.0,1.9,49.1,37.3,25.5,36.0,4.0,Yes,Yes,High,47.9
STU1077,17,Female,Computer Science,72.4,6.9,74.6,72.3,66.5,44.5,9.0,Yes,No,High,66.6
STU1078,23,Male,Data Science,80.1,6.7,95.2,91.1,70.5,57.4,7.4,Yes,No,Medium,81.7
STU1079,18,Male,Data Science,86.1,4.0,46.9,35.0,20.0,42.4,6.1,Yes,No,High,52.3
STU1080,19,Female,Data Science,74.0,5.2,70.3,68.5,42.8,61.3,8.9,Yes,No,Medium,63.3
STU1081,21,Male,Information Technology,83.9,1.0,44.5,56.1,50.1,35.0,6.4,Yes,Yes,High,53.7
STU1082,18,Male,Information Technology,69.4,2.4,38.5,41.2,50.2,36.1,6.9,Yes,Yes,High,43.5
STU1083,19,Male,Computer Science,73.3,4.0,53.4,60.2,32.2,37.6,6.3,Yes,No,High,57.2
STU1084,21,Male,Computer Science,73.0,2.6,43.5,39.2,48.7,35.0,8.6,Yes,No,Medium,53.2
STU1085,21,Male,Information Technology,62.5,5.8,51.5,55.9,75.5,40.9,6.7,Yes,No,Medium,56.3
STU1086,21,Female,Information Technology,84.3,8.1,63.8,59.8,92.4,53.0,7.0,No,No,High,70.7
STU1087,17,Female,Commerce,71.9,2.4,35.0,35.0,42.6,35.0,8.1,Yes,Yes,High,48.5
STU1088,20,Female,Computer Science,78.2,3.0,35.0,55.6,41.8,40.3,7.4,Yes,No,High,42.4
STU1089,20,Female,Information Technology,84.2,4.9,64.3,55.1,51.1,46.4,6.7,Yes,Yes,Medium,66.3
STU1090,21,Male,Computer Science,83.8,7.4,62.5,68.4,83.1,50.3,8.0,Yes,Yes,High,86.6
STU1091,18,Female,Computer Science,86.7,2.3,40.6,35.0,54.0,35.0,9.0,Yes,No,Medium,49.7
STU1092,18,Female,Commerce,76.7,4.9,53.2,44.7,70.3,55.4,7.1,Yes,Yes,High,62.3
STU1093,22,Female,Computer Science,72.5,7.8,71.8,72.4,74.0,54.6,6.9,Yes,No,High,75.6
STU1094,21,Female,Computer Science,77.0,1.5,42.5,35.9,56.9,35.2,7.0,Yes,Yes,Medium,56.2
STU1095,22,Female,Data Science,56.1,2.2,35.0,40.6,37.9,35.0,8.2,Yes,No,Medium,45.2
STU1096,18,Male,Computer Science,59.2,3.7,55.4,54.6,59.3,35.0,6.1,Yes,No,High,43.2
STU1097,23,Male,Computer Science,60.8,3.6,60.0,55.0,61.0,52.4,6.5,Yes,No,Low,57.5
STU1098,18,Female,Information Technology,65.0,6.0,58.0,63.2,44.8,44.0,5.1,Yes,No,High,71.0
STU1099,21,Male,Computer Science,83.2,4.9,67.7,81.6,29.4,35.0,5.5,Yes,Yes,High,67.7
STU1100,18,Male,Data Science,66.2,1.3,49.6,35.0,64.1,41.9,6.2,Yes,Yes,High,45.6
STU1101,23,Female,Commerce,73.1,5.4,67.0,63.7,64.5,41.5,6.7,Yes,Yes,Medium,64.9
STU1102,19,Male,Data Science,94.9,3.5,63.4,74.2,29.3,58.7,8.7,Yes,Yes,Medium,61.8
STU1103,22,Female,Commerce,73.4,6.8,66.1,81.6,54.2,47.8,7.4,Yes,No,High,73.6
STU1104,19,Female,Data Science,87.6,3.4,58.6,44.5,70.3,40.7,5.8,Yes,No,Low,53.7
STU1105,22,Male,Computer Science,65.9,3.4,35.0,40.8,41.6,36.0,6.0,Yes,Yes,Medium,46.5
STU1106,20,Female,Computer Science,75.3,5.5,63.2,77.5,52.2,38.3,8.3,Yes,Yes,Low,57.8
STU1107,17,Male,Information Technology,65.6,5.9,35.7,57.9,84.2,35.0,8.0,Yes,No,Medium,51.0
STU1108,18,Male,Data Science,73.6,5.3,43.7,57.9,40.8,35.0,6.8,Yes,No,Low,58.1
STU1109,21,Male,Commerce,88.9,1.5,61.3,51.2,33.1,48.8,6.3,Yes,Yes,Medium,59.3
STU1110,18,Male,Computer Science,55.5,5.5,56.0,51.7,56.3,35.0,8.0,Yes,No,High,51.3
STU1111,18,Male,Computer Science,83.6,2.6,65.3,59.9,57.6,35.0,5.7,No,No,Medium,52.4
STU1112,20,Male,Computer Science,81.1,4.9,51.9,57.1,69.9,44.5,7.2,Yes,No,Medium,52.1
STU1113,18,Female,Data Science,70.3,1.9,35.0,39.6,57.5,35.0,9.0,Yes,Yes,Medium,40.7
STU1114,17,Female,Computer Science,59.2,5.3,43.9,52.5,56.7,35.0,7.0,Yes,No,Medium,50.8
STU1115,21,Male,Data Science,78.9,3.0,48.1,44.2,59.3,35.0,5.9,Yes,Yes,High,59.2
STU1116,21,Female,Data Science,71.1,2.2,41.3,48.8,38.3,35.0,7.3,Yes,Yes,Medium,45.4
STU1117,22,Female,Computer Science,81.0,5.8,72.1,99.0,66.6,54.4,6.3,Yes,No,High,81.6
STU1118,23,Female,Computer Science,78.3,4.9,49.5,40.2,61.7,41.6,5.3,Yes,No,Low,51.1
STU1119,17,Male,Data Science,98.8,3.4,61.6,66.3,65.3,36.9,7.6,Yes,Yes,High,65.8
STU1120,19,Female,Data Science,74.9,7.1,48.8,56.8,83.1,50.3,8.0,Yes,No,High,59.6
STU1121,18,Female,Data Science,64.7,3.7,48.6,55.1,57.6,35.0,6.5,Yes,Yes,Medium,56.7
STU1122,23,Female,Data Science,80.3,4.6,53.7,59.5,59.9,35.0,6.4,Yes,No,Medium,67.5
STU1123,20,Female,Computer Science,80.9,5.0,46.4,65.6,46.8,49.2,5.7,No,No,Medium,50.0
STU1124,17,Male,Data Science,95.7,3.4,53.2,71.0,61.3,41.8,6.6,Yes,No,Low,59.7
STU1125,21,Female,Commerce,88.9,5.3,57.9,67.4,66.0,37.0,6.2,Yes,No,High,70.8
STU1126,17,Male,Data Science,82.6,3.5,47.2,64.9,58.1,35.0,5.7,Yes,No,Medium,49.7
STU1127,18,Male,Data Science,97.0,3.8,79.3,46.7,100.0,62.8,8.9,Yes,No,High,78.3
STU1128,22,Female,Commerce,62.5,7.0,53.5,77.9,53.7,54.3,7.3,Yes,No,Medium,67.6
STU1129,20,Male,Data Science,69.7,2.6,38.3,47.2,52.0,35.0,7.4,Yes,No,Medium,47.6
STU1130,22,Male,Computer Science,66.0,1.0,35.0,46.3,53.9,35.0,7.8,Yes,Yes,High,48.5
STU1131,20,Male,Commerce,72.9,7.4,50.2,53.1,71.6,36.4,7.6,No,No,Medium,65.6
STU1132,22,Female,Commerce,60.1,9.1,58.5,62.0,100.0,35.0,6.3,Yes,Yes,Medium,73.0
STU1133,20,Female,Information Technology,86.3,3.8,45.0,56.4,51.0,35.0,7.1,Yes,No,High,56.3
STU1134,17,Male,Data Science,75.1,1.0,54.2,44.8,44.6,36.6,6.5,Yes,Yes,Low,46.8
STU1135,17,Male,Computer Science,58.9,3.9,39.3,47.9,31.6,39.1,7.3,Yes,Yes,Medium,42.6
STU1136,22,Male,Commerce,64.8,4.0,59.8,65.2,42.8,53.5,7.2,Yes,No,High,63.7
STU1137,17,Male,Commerce,82.1,4.2,53.6,40.4,62.4,35.0,6.4,Yes,Yes,Medium,50.7
STU1138,19,Female,Data Science,88.9,2.5,50.0,62.7,67.7,35.0,5.3,Yes,Yes,High,58.8
STU1139,17,Male,Computer Science,100.0,5.5,64.8,72.0,78.2,52.4,7.0,Yes,No,High,74.7
STU1140,19,Female,Data Science,100.0,5.4,65.6,69.8,94.7,41.3,6.6,Yes,Yes,Medium,70.6
STU1141,21,Male,Data Science,83.4,1.8,65.0,39.4,44.8,47.0,4.7,Yes,Yes,High,60.4
STU1142,18,Female,Information Technology,65.1,5.8,35.0,57.1,52.3,35.0,7.4,Yes,No,High,63.3
STU1143,20,Female,Data Science,50.3,8.2,35.0,35.0,100.0,35.0,7.9,No,Yes,Medium,49.9
STU1144,23,Male,Data Science,81.5,4.8,48.4,64.7,67.8,35.0,9.0,Yes,Yes,High,58.9
STU1145,17,Male,Data Science,67.4,3.9,45.3,35.0,36.9,43.2,6.4,Yes,Yes,Medium,54.5
STU1146,17,Male,Computer Science,72.6,4.2,56.9,56.9,41.2,38.4,6.2,Yes,Yes,Medium,57.4
STU1147,18,Female,Data Science,70.0,5.6,58.5,59.9,42.5,55.9,5.6,Yes,Yes,High,69.5
STU1148,22,Female,Computer Science,76.2,1.4,35.0,51.7,58.1,35.0,7.0,No,Yes,Medium,47.9
STU1149,19,Male,Data Science,91.9,4.8,71.8,67.7,58.8,52.3,7.0,Yes,No,High,69.9
STU1150,21,Female,Commerce,80.0,3.8,62.8,52.3,57.3,63.9,5.9,No,No,Medium,54.3
STU1151,17,Female,Data Science,75.9,7.8,66.0,68.1,72.0,37.0,6.6,Yes,Yes,High,61.2
STU1152,22,Male,Computer Science,64.5,4.2,56.5,66.6,63.2,35.0,4.6,Yes,Yes,Low,46.6
STU1153,17,Female,Data Science,56.2,7.5,57.1,68.5,47.5,53.3,7.8,Yes,No,High,63.3
STU1154,21,Male,Data Science,71.7,2.5,35.0,38.7,25.4,35.0,6.0,Yes,No,Medium,37.6
STU1155,18,Female,Data Science,77.3,5.6,64.4,63.0,66.8,44.7,6.8,Yes,Yes,High,71.9
STU1156,23,Male,Data Science,100.0,5.1,65.7,55.2,81.3,39.1,5.2,Yes,No,High,69.7
STU1157,19,Male,Data Science,79.7,2.9,46.9,54.4,56.4,36.4,6.2,Yes,Yes,Medium,53.5
STU1158,18,Male,Computer Science,90.8,4.8,76.8,53.3,50.3,41.7,6.5,Yes,No,Medium,62.3
STU1159,19,Male,Information Technology,71.5,6.7,35.0,64.7,77.9,35.0,6.8,No,No,Low,55.6
STU1160,17,Female,Data Science,62.6,3.9,35.0,46.0,34.3,35.0,7.3,Yes,No,High,42.4
STU1161,18,Male,Computer Science,65.5,1.5,35.0,61.0,27.6,35.0,8.4,Yes,Yes,High,41.7
STU1162,21,Male,Computer Science,68.6,4.5,43.6,40.6,36.4,35.0,7.6,Yes,Yes,High,56.2
STU1163,19,Male,Data Science,100.0,2.9,53.0,57.7,82.9,35.0,7.9,Yes,Yes,High,66.1
STU1164,19,Male,Computer Science,67.3,3.9,35.0,64.1,61.2,35.0,8.4,Yes,Yes,Low,48.5
STU1165,22,Male,Data Science,88.9,4.4,44.9,69.7,72.9,35.0,7.4,Yes,Yes,Low,62.2
STU1166,17,Male,Data Science,66.3,1.4,35.0,35.0,59.3,35.0,6.8,Yes,No,Low,41.7
STU1167,19,Male,Computer Science,90.1,1.6,76.1,61.5,99.2,47.5,7.9,Yes,Yes,High,72.0
STU1168,18,Female,Commerce,83.0,5.4,79.5,71.6,33.6,52.0,8.0,Yes,No,Medium,64.9
STU1169,20,Female,Commerce,76.0,3.6,42.9,53.2,38.9,35.0,7.5,Yes,Yes,Medium,61.1
STU1170,19,Male,Commerce,77.5,1.0,35.0,35.0,28.8,35.0,5.2,Yes,Yes,High,42.8
STU1171,17,Female,Computer Science,69.5,5.9,39.9,54.6,45.5,36.4,5.9,Yes,No,Medium,59.2
STU1172,17,Male,Data Science,83.8,5.0,35.0,38.9,43.3,38.0,6.5,No,No,High,50.6
STU1173,22,Male,Data Science,72.1,3.2,43.2,49.3,43.1,35.0,7.7,Yes,Yes,High,55.2
STU1174,17,Female,Data Science,62.1,2.1,35.0,42.7,20.0,35.0,6.8,Yes,No,Low,42.6
STU1175,22,Male,Data Science,61.4,6.0,49.4,54.4,63.7,35.0,8.1,Yes,Yes,High,61.3
STU1176,23,Male,Data Science,80.2,5.1,36.3,38.5,62.5,35.0,8.2,Yes,Yes,Low,47.6
STU1177,20,Male,Computer Science,98.5,8.8,68.6,94.2,97.0,66.0,8.1,Yes,No,High,90.5
STU1178,19,Female,Data Science,80.1,5.3,58.0,66.5,71.7,46.5,8.1,Yes,Yes,High,74.5
STU1179,22,Male,Data Science,76.5,5.2,58.6,54.4,71.3,35.0,5.7,Yes,No,High,59.4
STU1180,23,Female,Information Technology,81.7,4.2,57.7,56.6,51.0,44.3,7.3,Yes,Yes,High,62.1
STU1181,17,Male,Computer Science,95.0,6.0,49.7,51.9,100.0,46.2,6.1,Yes,No,Medium,64.4
STU1182,23,Female,Commerce,80.9,5.6,67.9,57.4,68.6,44.0,5.0,Yes,No,High,64.7
STU1183,23,Male,Data Science,72.7,6.8,49.0,57.4,33.2,44.5,6.5,Yes,Yes,Medium,65.9
STU1184,17,Male,Computer Science,92.4,3.6,62.9,74.6,41.5,39.6,8.3,Yes,Yes,Low,58.0
STU1185,17,Male,Data Science,83.6,3.7,51.6,49.7,24.8,35.0,7.3,Yes,No,High,50.3
STU1186,22,Female,Computer Science,98.0,3.6,41.3,62.9,62.4,35.0,9.0,Yes,No,High,67.2
STU1187,17,Male,Data Science,80.4,5.9,54.8,58.6,63.5,35.0,7.0,Yes,No,Medium,62.9
STU1188,21,Male,Data Science,62.1,7.2,59.7,67.2,55.5,40.8,9.0,Yes,No,Medium,69.5
STU1189,17,Female,Computer Science,60.2,3.7,48.5,46.6,81.8,45.2,7.0,Yes,Yes,Medium,52.1
STU1190,21,Male,Data Science,99.5,3.7,57.1,71.5,73.2,35.0,6.8,Yes,Yes,High,67.7
STU1191,18,Male,Data Science,100.0,5.1,82.8,71.5,83.6,44.7,5.4,Yes,No,Medium,72.6
STU1192,17,Male,Commerce,75.7,4.1,61.7,42.9,37.8,35.0,8.0,Yes,Yes,Medium,56.1
STU1193,17,Male,Data Science,73.0,6.2,53.3,48.4,45.9,36.0,6.2,Yes,No,High,49.1
STU1194,18,Male,Computer Science,97.0,1.0,56.5,47.1,49.3,35.0,6.1,Yes,Yes,High,61.4
STU1195,20,Male,Computer Science,63.6,3.0,63.2,39.2,46.7,53.2,8.2,Yes,Yes,Low,55.3
STU1196,17,Male,Data Science,66.4,3.1,65.2,57.7,20.0,53.1,8.1,Yes,No,High,56.9
STU1197,22,Female,Computer Science,86.4,1.0,35.0,37.0,40.6,35.0,8.0,Yes,No,High,46.0
STU1198,21,Male,Data Science,72.9,2.8,35.0,67.7,47.1,35.0,6.4,Yes,No,High,46.8
STU1199,19,Male,Information Technology,77.9,2.9,63.9,38.5,45.7,44.5,6.7,Yes,No,Medium,59.4
STU1200,23,Male,Data Science,75.9,4.1,37.0,52.1,40.0,35.0,6.7,Yes,No,Medium,44.6
STU1201,21,Male,Data Science,82.4,6.5,45.9,52.3,59.9,40.8,7.7,Yes,No,High,62.8
STU1202,21,Female,Data Science,96.3,4.1,53.1,56.9,60.7,35.0,8.5,Yes,No,Medium,70.2
STU1203,18,Female,Commerce,79.2,2.6,50.6,52.0,50.3,43.1,7.2,Yes,No,Medium,61.2
STU1204,21,Female,Information Technology,86.4,4.4,54.4,37.1,71.8,46.2,9.0,Yes,No,High,54.4
STU1205,20,Female,Commerce,51.3,6.4,39.6,54.0,74.5,35.0,7.8,Yes,No,Low,46.2
STU1206,23,Female,Information Technology,77.4,2.7,37.0,64.6,43.0,35.0,6.5,Yes,No,High,53.5
STU1207,20,Female,Information Technology,67.0,2.9,35.0,38.0,36.4,35.0,7.7,Yes,Yes,High,45.8
STU1208,21,Male,Computer Science,62.2,5.5,38.3,53.9,63.4,35.0,8.7,Yes,No,Low,42.7
STU1209,19,Female,Commerce,66.6,4.1,72.9,70.1,61.5,53.3,9.0,Yes,Yes,Medium,66.5
STU1210,17,Female,Computer Science,73.7,5.7,58.4,60.9,53.8,40.2,8.1,Yes,Yes,High,61.9
STU1211,17,Female,Computer Science,89.9,4.5,68.2,60.8,77.2,46.2,6.8,Yes,No,Medium,76.1
STU1212,23,Female,Computer Science,60.8,5.8,43.5,35.0,74.0,35.5,6.6,Yes,Yes,Medium,50.5
STU1213,22,Female,Computer Science,78.4,2.6,42.9,54.0,71.5,35.0,7.4,Yes,No,High,59.4
STU1214,19,Male,Data Science,71.7,4.5,40.8,50.4,86.8,35.0,8.6,Yes,No,Medium,48.1
STU1215,21,Male,Computer Science,73.7,4.1,35.0,38.6,38.1,35.0,7.3,Yes,Yes,Medium,43.5
STU1216,17,Female,Data Science,91.0,2.3,35.0,48.9,52.7,35.0,7.3,Yes,No,High,56.0
STU1217,17,Male,Information Technology,85.0,1.7,35.0,37.9,47.0,35.0,6.9,Yes,Yes,Medium,53.4
STU1218,20,Female,Computer Science,95.4,5.7,37.6,56.4,69.7,35.0,6.4,Yes,No,High,56.5
STU1219,21,Female,Information Technology,76.0,3.9,35.0,54.8,42.0,36.8,6.6,Yes,No,High,51.4
STU1220,23,Male,Computer Science,69.0,2.7,57.2,36.8,20.0,35.0,6.9,Yes,Yes,Low,41.0
STU1221,22,Male,Information Technology,75.1,4.3,49.6,65.4,57.0,38.7,8.7,Yes,Yes,Medium,56.8
STU1222,18,Male,Data Science,81.2,6.5,76.7,60.0,55.2,62.8,6.5,No,Yes,Medium,74.5
STU1223,22,Female,Commerce,80.3,1.0,44.9,36.7,42.7,35.0,6.9,Yes,Yes,Medium,46.5
STU1224,20,Female,Computer Science,63.9,1.8,45.0,60.4,23.5,35.4,5.8,Yes,Yes,Medium,45.8
STU1225,22,Female,Data Science,79.2,2.8,35.5,57.3,29.8,35.0,7.6,Yes,No,High,44.8
STU1226,18,Female,Data Science,81.0,7.1,69.7,74.5,76.2,46.2,8.3,No,Yes,Low,65.2
STU1227,17,Male,Data Science,100.0,5.0,72.7,63.5,72.7,41.4,8.6,Yes,No,Medium,78.5
STU1228,17,Female,Computer Science,100.0,5.9,60.5,66.5,84.9,41.7,7.0,Yes,Yes,Medium,71.4
STU1229,23,Male,Information Technology,66.9,2.4,45.9,45.3,81.5,48.6,7.4,Yes,No,Medium,48.5
STU1230,17,Male,Commerce,74.3,2.5,49.7,48.8,50.9,35.0,6.6,Yes,Yes,High,52.0
STU1231,23,Male,Information Technology,59.0,5.3,40.1,49.4,61.8,35.0,7.4,Yes,No,High,43.5
STU1232,22,Female,Computer Science,70.3,4.6,35.6,49.3,35.2,35.0,7.1,Yes,No,High,44.8
STU1233,18,Female,Computer Science,82.1,5.5,43.6,57.0,41.3,48.1,6.9,Yes,Yes,High,66.4
STU1234,23,Female,Information Technology,93.7,4.2,59.2,49.1,91.7,35.8,7.0,Yes,No,Medium,62.9
STU1235,18,Male,Information Technology,68.5,5.0,53.7,51.7,39.2,37.1,7.3,Yes,Yes,Low,61.3
STU1236,18,Female,Data Science,69.5,4.8,40.0,60.8,36.5,35.0,6.5,Yes,No,High,51.5
STU1237,21,Male,Commerce,50.1,5.9,45.3,37.9,51.3,35.0,6.5,Yes,No,High,48.2
STU1238,19,Male,Computer Science,75.9,6.0,63.8,64.2,62.5,42.6,8.7,Yes,No,Medium,66.2
STU1239,19,Female,Information Technology,64.2,1.6,42.4,35.0,20.6,50.7,9.0,Yes,Yes,High,35.2
STU1240,18,Male,Commerce,71.1,1.0,54.4,45.0,31.5,49.2,5.5,No,Yes,Low,49.2
STU1241,21,Female,Information Technology,66.6,6.3,69.2,62.4,83.6,39.7,5.4,Yes,Yes,High,65.7
